 ;4;6;Sainte Marie;Sainte Marie;Enceinte Aéroport;-17.089;49.81685;12*3;6;5;8;RNA 009;24;TELMA;;1
 ;4;6;Mananara Nord;Mananara Nord;Entrée de la ville;13.233348;48.154256;4*3;6;5;5;368;6;TELMA;;1
 ;18;7;Morondava;Tsimahavaokely;Route de l'aéroport, devant cimetières;;;4*3;6;5;9;TELMA 015;23;TELMA;;1
 ;16;1;Miarinarivo ;Miarinarivo;Croisement Chef de région;13.232004;48.162608;6*3;6;5;5;378;6;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Hotel Vanilla;13.192986;48.11886;4*3;6;5;3;5;25;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Croisement Ambatoloaka et Dzamanjary;13.241726;48.16212;4*3;6;5;3;2;52;TELMA;;1
 ;1;6;Moramanga;Moramanga;Croisement vers Ambatovy;;;6*3;6;5;5;364;24;TELMA;;1
 ;12;1;Sakay;Sakay;Croisement vers centre ville;13.23942;48.123910;6*3;6;5;5;381;6;TELMA;;1
 ;4;6;Soanierana Ivongo;Soanierana Ivongo;Côté cimetière, près stationnement;;;6*3;6;5;5;80;6;TELMA;;1
 ;3;1;Antananarivo;Ambohitrarahaba;En  face Shell Ambohitrarahaba, vers Tana;47.47510;-18.80074;4*3;6;5;5;315;27;TELMA;;1
 ;3;1;Antananarivo;Sabotsy Namehana;En face JIRAMA Anosy Avaratra, vers Tana;47.556556;-18.834264;4*3;6;5;5;334;6;TELMA;;1
 ;3;1;Antananarivo;Namontana;Rond point Anosibe vers Namontana;47.50967;-18.93034;12*3;8;5;4;MDTA018;6;TELMA;;1
 ;3;1;Antananarivo;Behoririka;En face station Shell;47.52486;-18.90173;12*3;8;5;4;MDTA024;30;TELMA;;1
 ;3;1;Antananarivo;Ambatobe;Rond point en face sortie lycée Français;47.55854;-18.87951;4*3;6;5;3;16T;26;TELMA;;1
 ;3;1;Antananarivo;Faravohitra;Devant Eglise Catholique ;47.52846;-18.90587;4*3;6;5;3;N2;31;TELMA;;1
 ;3;1;Antananarivo;Andohatapenaka;Sortie 67ha vers digue ;47.49917;-18.90631;12*6;6;5;3;1B12/6;25;TELMA;;1
 ;3;1;Antananarivo;Alarobia;Alarobia stop milieu droite;47.519328;-18.873943;12*3;9;5;3;BT 12-1/6;25;TELMA;;1
 ;3;1;Antananarivo;Ankorahotra;Près fokontany Ankorahotra;47.53677;-18.91394;12*6;1;5;3;BT 12-2/6;24;TELMA;;1
 ;3;1;Antananarivo;Ivandry;Crosiement vers IMATEP;47.530228;-18.868943;4*3;6;5;3;12T;28;TELMA;;1
 ;3;1;Antananarivo;Antsahabe;Près arrêt bus Mascotte ;47.532765;-18.914851;4*3;6;5;3;V5;60;TELMA;;1
 ;3;1;Antananarivo;Ankazomanga;En face rond point vers 67ha;47.51544;-18.89362;12*3;6;5;5;253;25;TELMA;;1
 ;3;1;Antananarivo;Anosy;Avant Arrêt Bus vers rond point Sénat;47.52210;-18.91800;6*3;4;5;4;MDTA093;25;TELMA;;1
 ;3;1;Antananarivo;Tanjombato;En face Leader Price - vers Tanà;47.52759;-18.95578;6*3;4;5;4;MDTA012;34;TELMA;;1
 ;3;1;Antananarivo;Andavamamba;En face Jirama - vers Ampefiloha;47.50848;-18.91606;6*3;4;5;4;MDTA009;25;TELMA;;1
 ;3;1;Antananarivo;Ankorondrano;En face Henri Fraise - Vers Ankorondrano;47.52172;-18.89439;6*3;4;5;4;MDTA092;52;TELMA;;1
 ;3;1;Antananarivo;IVATO;Aéroport face parking départ International - sortie ;47.47483;-18.800015;6*3;4;5;4;MDTA020;60;TELMA;;1
 ;3;1;Antananarivo;Behoririka;Telma Shop Behoririka;47.52486;-18.90173;6*3;5;5;6;MUR 001;60;TELMA;;1
 ;3;1;Antananarivo;IVATO;Sortie Aéroport;47.47510;-18.80074;12*3;6;5;5;296;32;TELMA;;1
 ;3;1;Antananarivo;Sabotsy Namehana;Sur digue Anosy Avaratra vers Anjozorobe;47.55837;-18.82486;6*6;4;5;4;MDTA013;60;TELMA;;1
 ;3;1;Antananarivo;Nanisana;Après croisement Ambatobe vers Ampasapito ;47.55117;-18.88389;4*3;6;5;3;17T;33;TELMA;;1
 ;3;1;Antananarivo;Avaratr'Antanimora;Avant Shoprite Antanimora ;47.538085;-18.914045;4*3;6;5;5;193;29;TELMA;;1
 ;3;1;Antananarivo;Rasalama;Près Collège Rasalama;47.53226;-18.90173;4*3;6;5;3;L1;6;TELMA;;1
 ;3;1;Antananarivo;Antaninarenina;En face BOA ;47.52528;-18.90919;4*3;6;5;3;J6;52;TELMA;;1
 ;3;1;Antananarivo;Ambanidia;Près EPP vers Ambatoroka;47.53983;-18.92014;4*3;6;5;5;513;52;TELMA;;1
 ;3;1;Antananarivo;Digue;Sortie Akoor' vue vers Tana, en face ID MOTORS;47.49136;-18.89193;4*3;6;5;5;341;23;TELMA;;1
 ;3;1;Antananarivo;Besarety;Devant Restaurant La Rotonde ;47.53507;-18.90154;4*3;6;5;5;257;6;TELMA;;1
 ;3;1;Antananarivo;Ambatobe;Croisement Malagasy School;47.556021;-18.878766;4*3;6;5;5;320;25;TELMA;;1
 ;3;1;Antananarivo;Tanjombato;En face BFV avant pont Tanjombato;47.529114;-18.954833;4*3;6;5;5;200;52;TELMA;;1
 ;3;1;Antananarivo;By pass;Croisement Ambohijanaka vers Iavoloha;47.54446;-18.97966;6*6;4;5;4;MDTA014;52;TELMA;;1
 ;3;1;Antananarivo;Ankadimbahoaka;En face Station GALANA  vue vers Tanjombato;47.52464;-18.94464;8*3;6;5;3;BT8-2;23;TELMA;;1
 ;3;1;Antananarivo;Fasan'ny Karana;Fasan'ny karana,en face Rimatex MAD, vue vers Ankadimbahoaka;47.50904;-18.94549;12*3;6;5;3;BT 12-34;23;TELMA;;1
 ;3;1;Antananarivo;Andrainarivo;Montée vers Mausolée ;47.54749;-18.91272;4*3;6;5;3;120;23;TELMA;;1
 ;3;1;Antananarivo;Andakana;Andakana entrée Golf;13.232004;48.162608;4*3;6;5;5;271;6;TELMA;;1
 ;3;1;Antananarivo;Ambohimangakely;Boulevard Tokyo, rond point vue vers Tamatave;47.60308;-18.89769;12*6;1;5;3;BT 12-3/6;24;TELMA;;1
 ;3;1;Antananarivo;Anosy;Avant montée pavée vers Antsahamanitra;47.5219;-18.91346;4*3;6;5;3;R4;6;TELMA;;1
 ;3;1;Antananarivo;IVATO;Aéroport face parking départ International - entrée;47.47483;-18.800015;6*3;4;5;4;MDTA020;24;TELMA;;1
 ;9;6;Toamasina;Ankirihiry;A côté Telma Kioska;;;4*3;6;5;5;27;25;TELMA;;1
 ;9;6;Toamasina;Bazary Kely;En face Mosquée;-18.15429;49.40673;4*3;6;5;5;50;46;TELMA;;1
 ;9;6;Toamasina;Tanamborozano;Château d'eau;-18.15712;49.40172;4*3;6;5;5;63;6;TELMA;;1
 ;9;6;Toamasina;Ambalamanasy;Enceinte Aéroport;-18.11450;49.39589;12*3;6;5;8;RNA 010;24;TELMA;;1
 ;7;7;Toliara;Tuléar Centre ;Devant cité de la Poste;22.2409;46.0739;4*3;6;5;9;TELMA 016;47;TELMA;;1
 ;7;7;Toliara;Tuléar Centre ;Près Data Center Telma;23.212783;43.401000;6*3;6;5;9;TELMA 017;25;TELMA;;1
 ;7;7;Toliara;Tsianaloka;Près Notre Dame;23.21073;43.40947;4*3;6;5;9;TELMA 018;52;TELMA;;1
